0x8036fcf8 OSReport
0x8036017c DVDOpen
0x8036048c DVDReadAsyncPrio
0x80360244 DVDClose
0x8037333c OSLink
0x8035712c PPCSetFpIEEEMode
0x802ce224 __nwa__FUlPCcPCc
0x802ce278 __nw__FUlPCcPCc
0x80372f8c __OSLinkHandleREL14
0x8001de68 AdvanceGameState__9CMainFlowFR18CArchitectureQueue
0x800401d8 InitializeState__13CStateManagerFUi7TAreaIdUi
0x8005926c StartStreamIn__9CGameAreaFR13CStateManager
0x800031e8 memcpy
0x80142590 _ZN10CGameState17SetCurrentWorldIdEj
0x801425e0 _ZN10CGameState17CurrentWorldStateEv
0x80144f70 _ZN11CWorldState21SetDesiredAreaAssetIdEj
0x8001db54 _ZN9CMainFlow12SetGameStateE17EClientFlowStatesR18CArchitectureQueue
0x8001de68 _ZN9CMainFlow16AdvanceGameStateER18CArchitectureQueue
0x800401d8 _ZN13CStateManager15InitializeStateEj7TAreaIdj
0x80186534 _ZN7CPlayer8TeleportERK12CTransform4fR13CStateManagerb
0x800859d8 _ZN12CPlayerState19ReInitializePowerUpENS_9EItemTypeEi
0x80085760 _ZN12CPlayerState10IncrPickUpENS_9EItemTypeEi
0x8005926c _ZN9CGameArea13StartStreamInER13CStateManager
0x8004ebe4 _ZN6CWorld12AuxGetAreaIdEP7TAreaIdPS_j
0x80144f68 _ZN11CWorldState13GetLayerStateEv
0x80418eb8 g_GameState
0x803a7288 gkPowerUpMaxValues
0x803a743c gkPowerUpShouldPersist
